trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,volume,net_profit_per_share,total net,avg_profit per share
357,2025-07-06T02:03:14.392152+00:00,same_outcome,0.0237,100,2.37,0.63,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,40313.76,0.0237,2236.69,0.055482049
358,2025-07-06T02:03:14.570967+00:00,same_outcome,0.0237,100,2.37,0.63,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,40413.76,0.0237,2239.06,0.055403407
291,2025-07-06T01:52:10.023123+00:00,same_outcome,0.0236,140,3.31,0.89,Houston vs Los Angeles (LAD),Kalshi,BUY,0.1,Houston vs Los Angeles (LAD),Polymarket,SELL,0.13,,,40553.76,0.0236,2242.37,0.055293763
294,2025-07-06T01:52:10.122795+00:00,same_outcome,0.0236,140,3.31,0.89,Houston vs Los Angeles (HOU),Polymarket,BUY,0.87,Houston vs Los Angeles (HOU),Kalshi,SELL,0.9,,,40693.76,0.0236,2245.68,0.055184874
340,2025-07-06T02:03:11.313830+00:00,same_outcome,0.0236,70,1.65,0.45,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,40763.76,0.0236,2247.33,0.055130587
341,2025-07-06T02:03:11.314280+00:00,same_outcome,0.0235,62,1.46,0.4,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1,,,40825.76,0.0235,2248.79,0.055082624
349,2025-07-06T02:03:12.550709+00:00,same_outcome,0.0235,62,1.46,0.4,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1,,,40887.76,0.0235,2250.25,0.055034807
350,2025-07-06T02:03:12.551145+00:00,same_outcome,0.0235,62,1.46,0.4,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,40949.76,0.0235,2251.71,0.054987135
24,2025-07-06T00:38:32.811291+00:00,same_outcome,0.0233,100,2.33,1.67,Detroit vs Cleveland (DET),Kalshi,BUY,0.61,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,41049.76,0.0233,2254.04,0.054909943
26,2025-07-06T00:38:32.849902+00:00,same_outcome,0.0233,100,2.33,1.67,Detroit vs Cleveland (DET),Kalshi,BUY,0.61,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,41149.76,0.0233,2256.37,0.054833127
83,2025-07-06T01:16:40.071285+00:00,same_outcome,0.0231,1350.78,31.15,22.88,Chicago vs Colorado (COL),Kalshi,BUY,0.41,Chicago vs Colorado (COL),Polymarket,SELL,0.45,,,42500.54,0.0231,2287.52,0.053823316
